Date,HomeTeam,AwayTeam,FTHG,FTAG
2015/10/19,Sporting Gijon,Granada CF,3,3
2015/10/23,Rayo Vallecano,Espanyol Barcelona,3,0
2015/10/24,Celta Vigo,Real Madrid,1,3
2015/10/24,Granada CF,Real Betis,1,1
2015/10/24,Sevilla FC,Getafe CF,5,0
2015/10/24,Malaga CF,Deportivo La Coruna,2,0
2015/10/25,Levante UD,Real Sociedad,0,4
2015/10/25,UD Las Palmas,Villarreal CF,0,0
2015/10/25,FC Barcelona,SD Eibar,3,1
2015/10/25,Atletico Madrid,Valencia CF,2,1
2015/10/26,Athletic Bilbao,Sporting Gijon,3,0
2015/10/30,Deportivo La Coruna,Atletico Madrid,1,1
2015/10/31,Real Madrid,UD Las Palmas,3,1
2015/10/31,Villarreal CF,Sevilla FC,2,1
2015/10/31,Valencia CF,Levante UD,3,0
2015/10/31,Getafe CF,FC Barcelona,0,2
2015/10/31,Real Sociedad,Celta Vigo,2,3
2015/11/1,SD Eibar,Rayo Vallecano,1,0
2015/11/1,Espanyol Barcelona,Granada CF,1,1
2015/11/1,Sporting Gijon,Malaga CF,1,0
2015/11/1,Real Betis,Athletic Bilbao,1,3
2015/11/6,UD Las Palmas,Real Sociedad,2,0
2015/11/7,Celta Vigo,Valencia CF,1,5
2015/11/7,Levante UD,Deportivo La Coruna,1,1
2015/11/7,SD Eibar,Getafe CF,3,1
2015/11/7,Rayo Vallecano,Granada CF,2,1
2015/11/7,Malaga CF,Real Betis,0,1
2015/11/8,Athletic Bilbao,Espanyol Barcelona,2,1
2015/11/8,FC Barcelona,Villarreal CF,3,0
2015/11/8,Atletico Madrid,Sporting Gijon,1,0
2015/11/8,Sevilla FC,Real Madrid,3,2
2015/11/21,Real Sociedad,Sevilla FC,2,0
2015/11/21,Real Madrid,FC Barcelona,0,4
2015/11/21,Espanyol Barcelona,Malaga CF,2,0
2015/11/21,Valencia CF,UD Las Palmas,1,1
2015/11/21,Deportivo La Coruna,Celta Vigo,2,0
2015/11/22,Sporting Gijon,Levante UD,0,3
2015/11/22,Villarreal CF,SD Eibar,1,1
2015/11/22,Granada CF,Athletic Bilbao,2,0
2015/11/22,Real Betis,Atletico Madrid,0,1
2015/11/23,Getafe CF,Rayo Vallecano,1,1
2015/11/27,Levante UD,Real Betis,0,1
2015/11/28,FC Barcelona,Real Sociedad,4,0
2015/11/28,Atletico Madrid,Espanyol Barcelona,1,0
2015/11/28,Malaga CF,Granada CF,2,2
2015/11/28,UD Las Palmas,Deportivo La Coruna,0,2
2015/11/28,Celta Vigo,Sporting Gijon,2,1
2015/11/29,Getafe CF,Villarreal CF,2,0
2015/11/29,SD Eibar,Real Madrid,0,2
2015/11/29,Rayo Vallecano,Athletic Bilbao,0,3
2015/11/29,Sevilla FC,Valencia CF,1,0
2015/12/5,Real Madrid,Getafe CF,4,1
2015/12/5,Granada CF,Atletico Madrid,0,2
2015/12/5,Valencia CF,FC Barcelona,1,1
2015/12/5,Deportivo La Coruna,Sevilla FC,1,1
2015/12/5,Real Betis,Celta Vigo,1,1
2015/12/6,Real Sociedad,SD Eibar,2,1
