Date,HomeTeam,AwayTeam,FTHG,FTAG
4-Dec-15,Sydney FC,Newcastle Jets,1,0
5-Dec-15,Western Sydney,Brisbane Roar,2,1
5-Dec-15,Wellington Phoenix,Melbourne Victory,2,0
6-Dec-15,Adelaide Utd,Perth Glory,1,0
11-Dec-15,Adelaide Utd,Sydney FC,2,1
12-Dec-15,Perth Glory,Central Coast Mariners,2,1
12-Dec-15,Western Sydney,Melbourne Victory,2,0
12-Dec-15,Brisbane Roar,Wellington Phoenix,2,1
13-Dec-15,Newcastle Jets,Melbourne City,0,4
16-Dec-15,Perth Glory,Melbourne Victory,1,0
18-Dec-15,Newcastle Jets,Adelaide Utd,0,0
19-Dec-15,Perth Glory,Western Sydney,2,2
19-Dec-15,Melbourne City,Melbourne Victory,2,1
19-Dec-15,Wellington Phoenix,Sydney FC,1,1
20-Dec-15,Central Coast Mariners,Brisbane Roar,0,1
24-Dec-15,Western Sydney,Newcastle Jets,2,0
26-Dec-15,Sydney FC,Central Coast Mariners,4,1
26-Dec-15,Adelaide Utd,Wellington Phoenix,3,0
27-Dec-15,Brisbane Roar,Melbourne City,3,1
27-Dec-15,Melbourne Victory,Perth Glory,1,1
31-Dec-15,Central Coast Mariners,Wellington Phoenix,3,1
1-Jan-16,Western Sydney,Adelaide Utd,0,0
2-Jan-16,Melbourne City,Sydney FC,2,2
2-Jan-16,Brisbane Roar,Perth Glory,2,1
3-Jan-16,Newcastle Jets,Melbourne Victory,0,1
8-Jan-16,Central Coast Mariners,Melbourne Victory,3,3
9-Jan-16,Perth Glory,Adelaide Utd,1,3
9-Jan-16,Melbourne City,Western Sydney,3,2
9-Jan-16,Sydney FC,Newcastle Jets,2,0
10-Jan-16,Wellington Phoenix,Brisbane Roar,0,0
15-Jan-16,Melbourne Victory,Brisbane Roar,4,0
16-Jan-16,Perth Glory,Melbourne City,2,2
16-Jan-16,Western Sydney,Sydney FC,1,2
16-Jan-16,Adelaide Utd,Central Coast Mariners,3,1
